Company Name,Latitude,Longitude,Score,Energy Cost,Lead Time,BTC Profit,AI Profit,CO₂e Saved,Recommendation
DrillLLC,44.294725,-104.662188,85,$26.3/MWh,9 days,$1120,$1220,2088 kg,Run AI
DrillHoldings,32.181873,-100.480947,79,$21.3/MWh,21 days,$890,$1426,2008 kg,Run AI
StrataEnergy,41.303462,-103.841057,88,$19.26/MWh,14 days,$1013,$1267,2285 kg,Run AI
StrataCorp,40.879498,-100.386123,73,$19.95/MWh,20 days,$1066,$877,1943 kg,Mine BTC
EnerEnergy,31.46452,-104.540648,84,$25.09/MWh,17 days,$858,$899,1827 kg,Run AI
RockResources,42.811576,-102.783013,85,$25.1/MWh,16 days,$1095,$1050,2300 kg,Mine BTC
EnerPartners,45.275875,-100.353417,74,$18.63/MWh,20 days,$1286,$997,2088 kg,Mine BTC
DrillEnergy,48.840831,-105.127933,77,$19.76/MWh,12 days,$1014,$955,2171 kg,Mine BTC
StrataInc,46.966924,-104.434689,83,$19.32/MWh,18 days,$1226,$935,2279 kg,Mine BTC
DrillPartners,34.04813,-105.444699,89,$18.13/MWh,12 days,$942,$1167,1810 kg,Run AI
RigResources,40.292894,-102.419846,88,$27.53/MWh,20 days,$1295,$1123,2452 kg,Mine BTC
StrataCorp,39.944949,-99.546716,94,$29.11/MWh,16 days,$968,$997,2291 kg,Run AI
DrillInc,46.418799,-103.705898,74,$24.08/MWh,15 days,$1109,$1266,1861 kg,Run AI
FracGroup,33.438873,-100.595722,90,$26.36/MWh,18 days,$963,$1044,2069 kg,Run AI
ShaleResources,33.190821,-97.541624,70,$20.99/MWh,14 days,$1251,$1088,1817 kg,Mine BTC
OilTechHoldings,34.267587,-105.301549,88,$22.11/MWh,20 days,$941,$1219,2086 kg,Run AI
RigPartners,42.905174,-105.460437,84,$22.95/MWh,8 days,$1137,$925,1841 kg,Mine BTC
RockLLC,43.367386,-98.277147,85,$20.46/MWh,19 days,$1021,$1404,1506 kg,Run AI
RockResources,36.913459,-104.552656,78,$24.68/MWh,14 days,$1142,$1416,2096 kg,Run AI
RockCorp,43.264058,-105.111557,72,$27.32/MWh,12 days,$1048,$1115,1803 kg,Run AI
GeoResources,34.235648,-104.928936,85,$21.98/MWh,18 days,$1281,$1468,1630 kg,Run AI
RockPartners,34.674824,-99.267539,71,$23.28/MWh,20 days,$1085,$958,1805 kg,Mine BTC
RigEnergy,34.780568,-102.551682,83,$27.94/MWh,15 days,$1054,$941,2164 kg,Mine BTC
StrataResources,32.334333,-104.539695,86,$29.36/MWh,14 days,$1128,$1422,1738 kg,Run AI
RockHoldings,32.493403,-100.351715,82,$25.35/MWh,18 days,$1228,$1020,2100 kg,Mine BTC
GeoCorp,36.478858,-102.248081,86,$29.73/MWh,16 days,$945,$833,1986 kg,Mine BTC
EnerEnergy,31.905355,-100.395623,84,$24.6/MWh,21 days,$1257,$934,2457 kg,Mine BTC
RockResources,35.978326,-104.942849,76,$20.27/MWh,12 days,$1061,$896,1745 kg,Mine BTC
StrataCorp,45.541473,-101.463055,95,$25.85/MWh,20 days,$838,$1453,1893 kg,Run AI
RockGroup,41.566058,-99.433229,86,$18.56/MWh,20 days,$1018,$1220,2174 kg,Run AI
PetroHoldings,38.195685,-103.310001,71,$25.79/MWh,11 days,$898,$1110,1646 kg,Run AI
FracGroup,39.931247,-100.049546,86,$24.32/MWh,20 days,$1107,$1134,1715 kg,Run AI
RigEnergy,37.453679,-104.908125,71,$29.17/MWh,15 days,$1269,$1468,1865 kg,Run AI
StrataLLC,48.342824,-103.254783,93,$24.11/MWh,17 days,$857,$1333,1556 kg,Run AI
EnerPartners,37.678759,-104.191538,80,$22.9/MWh,15 days,$1098,$1020,2233 kg,Mine BTC
RockPartners,43.646572,-98.442824,80,$26.79/MWh,7 days,$1190,$1097,1827 kg,Mine BTC
OilTechInc,47.432208,-101.66193,82,$29.62/MWh,17 days,$838,$1425,1623 kg,Run AI
PetroInc,39.700266,-104.938858,75,$18.58/MWh,17 days,$1196,$818,2159 kg,Mine BTC
